geo_type,region,transportation_type,alternative_name,sub-region,country,date,mobility percentage
city,Phoenix,driving,NA,Arizona,United States,2020-02-13,120
city,Phoenix,driving,NA,Arizona,United States,2020-02-14,138.14
city,Phoenix,driving,NA,Arizona,United States,2020-02-15,121.81
city,Phoenix,driving,NA,Arizona,United States,2020-02-16,90.82
city,Phoenix,driving,NA,Arizona,United States,2020-02-17,106.32
city,Phoenix,driving,NA,Arizona,United States,2020-02-18,110.32
city,Phoenix,driving,NA,Arizona,United States,2020-02-19,115.63
city,Phoenix,driving,NA,Arizona,United States,2020-02-20,118.88
city,Phoenix,driving,NA,Arizona,United States,2020-02-21,135.8
city,Phoenix,driving,NA,Arizona,United States,2020-02-22,129.21
city,Phoenix,driving,NA,Arizona,United States,2020-02-23,99.78
city,Phoenix,driving,NA,Arizona,United States,2020-02-24,112.94
city,Phoenix,driving,NA,Arizona,United States,2020-02-25,116.18
city,Phoenix,driving,NA,Arizona,United States,2020-02-26,117.12
city,Phoenix,driving,NA,Arizona,United States,2020-02-27,121.89
city,Phoenix,driving,NA,Arizona,United States,2020-02-28,136.75
city,Phoenix,driving,NA,Arizona,United States,2020-02-29,142.68
city,Phoenix,driving,NA,Arizona,United States,2020-03-01,98.21
city,Phoenix,driving,NA,Arizona,United States,2020-03-02,111.98
city,Phoenix,driving,NA,Arizona,United States,2020-03-03,115.34
city,Phoenix,driving,NA,Arizona,United States,2020-03-04,117.72
city,Phoenix,driving,NA,Arizona,United States,2020-03-05,124.28
city,Phoenix,driving,NA,Arizona,United States,2020-03-06,140.43
city,Phoenix,driving,NA,Arizona,United States,2020-03-07,130.55
city,Phoenix,driving,NA,Arizona,United States,2020-03-08,94.02
city,Phoenix,driving,NA,Arizona,United States,2020-03-09,111.09
city,Phoenix,driving,NA,Arizona,United States,2020-03-10,111.02
city,Phoenix,driving,NA,Arizona,United States,2020-03-11,109.11
city,Phoenix,driving,NA,Arizona,United States,2020-03-12,105.42
city,Phoenix,driving,NA,Arizona,United States,2020-03-13,113.62
city,Phoenix,driving,NA,Arizona,United States,2020-03-14,106.86
city,Phoenix,driving,NA,Arizona,United States,2020-03-15,76.55
city,Phoenix,driving,NA,Arizona,United States,2020-03-16,89.34
city,Phoenix,driving,NA,Arizona,United States,2020-03-17,83.27
city,Phoenix,driving,NA,Arizona,United States,2020-03-18,71.5
city,Phoenix,driving,NA,Arizona,United States,2020-03-19,72.25
city,Phoenix,driving,NA,Arizona,United States,2020-03-20,75.97
city,Phoenix,driving,NA,Arizona,United States,2020-03-21,65.89
city,Phoenix,driving,NA,Arizona,United States,2020-03-22,47.46
city,Phoenix,driving,NA,Arizona,United States,2020-03-23,61.65
city,Phoenix,driving,NA,Arizona,United States,2020-03-24,60.94
city,Phoenix,driving,NA,Arizona,United States,2020-03-25,60.33
city,Phoenix,driving,NA,Arizona,United States,2020-03-26,60.62
city,Phoenix,driving,NA,Arizona,United States,2020-03-27,65.84
city,Phoenix,driving,NA,Arizona,United States,2020-03-28,59.57
city,Phoenix,driving,NA,Arizona,United States,2020-03-29,45.26
city,Phoenix,driving,NA,Arizona,United States,2020-03-30,57.83
city,Phoenix,driving,NA,Arizona,United States,2020-03-31,56.68
city,Phoenix,driving,NA,Arizona,United States,2020-04-01,53.33
city,Phoenix,driving,NA,Arizona,United States,2020-04-02,54.9
city,Phoenix,driving,NA,Arizona,United States,2020-04-03,62.22
city,Phoenix,driving,NA,Arizona,United States,2020-04-04,53.69
city,Phoenix,driving,NA,Arizona,United States,2020-04-05,41.56
city,Phoenix,driving,NA,Arizona,United States,2020-04-06,53.65
city,Phoenix,driving,NA,Arizona,United States,2020-04-07,55.23
city,Phoenix,driving,NA,Arizona,United States,2020-04-08,55.34
city,Phoenix,driving,NA,Arizona,United States,2020-04-09,57.84
city,Phoenix,driving,NA,Arizona,United States,2020-04-10,64.9
city,Phoenix,driving,NA,Arizona,United States,2020-04-11,56.81
city,Phoenix,driving,NA,Arizona,United States,2020-04-12,36.59
city,Phoenix,driving,NA,Arizona,United States,2020-04-13,56.36
city,Phoenix,driving,NA,Arizona,United States,2020-04-14,58.32
city,Phoenix,driving,NA,Arizona,United States,2020-04-15,63.09
city,Phoenix,driving,NA,Arizona,United States,2020-04-16,63.64
city,Phoenix,driving,NA,Arizona,United States,2020-04-17,72.41
city,Phoenix,driving,NA,Arizona,United States,2020-04-18,65.56
city,Phoenix,driving,NA,Arizona,United States,2020-04-19,50.41
city,Phoenix,driving,NA,Arizona,United States,2020-04-20,64.17
city,Phoenix,driving,NA,Arizona,United States,2020-04-21,63.3
city,Phoenix,driving,NA,Arizona,United States,2020-04-22,64.67
city,Phoenix,driving,NA,Arizona,United States,2020-04-23,67.15
city,Phoenix,driving,NA,Arizona,United States,2020-04-24,74.82
city,Phoenix,driving,NA,Arizona,United States,2020-04-25,68.52
city,Phoenix,driving,NA,Arizona,United States,2020-04-26,51.95
city,Phoenix,driving,NA,Arizona,United States,2020-04-27,65.42
city,Phoenix,driving,NA,Arizona,United States,2020-04-28,66.69
city,Phoenix,driving,NA,Arizona,United States,2020-04-29,68.25
city,Phoenix,driving,NA,Arizona,United States,2020-04-30,71.37
city,Phoenix,driving,NA,Arizona,United States,2020-05-01,81.61
city,Phoenix,driving,NA,Arizona,United States,2020-05-02,75.87
city,Phoenix,driving,NA,Arizona,United States,2020-05-03,56.97
city,Phoenix,driving,NA,Arizona,United States,2020-05-04,71.39
city,Phoenix,driving,NA,Arizona,United States,2020-05-05,74.3
city,Phoenix,driving,NA,Arizona,United States,2020-05-06,73.47
city,Phoenix,driving,NA,Arizona,United States,2020-05-07,75.86
city,Phoenix,driving,NA,Arizona,United States,2020-05-08,87.05
city,Phoenix,driving,NA,Arizona,United States,2020-05-09,81.47
city,Phoenix,driving,NA,Arizona,United States,2020-05-10,58.8
city,Phoenix,driving,NA,Arizona,United States,2020-05-11,NA
city,Phoenix,driving,NA,Arizona,United States,2020-05-12,NA
city,Phoenix,driving,NA,Arizona,United States,2020-05-13,82.76
city,Phoenix,driving,NA,Arizona,United States,2020-05-14,86.16
city,Phoenix,driving,NA,Arizona,United States,2020-05-15,99.27
city,Phoenix,driving,NA,Arizona,United States,2020-05-16,94.46
city,Phoenix,driving,NA,Arizona,United States,2020-05-17,73.32
city,Phoenix,driving,NA,Arizona,United States,2020-05-18,89.59
city,Phoenix,driving,NA,Arizona,United States,2020-05-19,92.46
city,Phoenix,driving,NA,Arizona,United States,2020-05-20,94.24
city,Phoenix,driving,NA,Arizona,United States,2020-05-21,98
city,Phoenix,driving,NA,Arizona,United States,2020-05-22,111.41
city,Phoenix,driving,NA,Arizona,United States,2020-05-23,99.43
city,Phoenix,driving,NA,Arizona,United States,2020-05-24,79.71
city,Phoenix,driving,NA,Arizona,United States,2020-05-25,78.66
city,Phoenix,driving,NA,Arizona,United States,2020-05-26,95.37
city,Phoenix,driving,NA,Arizona,United States,2020-05-27,97.49
city,Phoenix,driving,NA,Arizona,United States,2020-05-28,99.3
city,Phoenix,driving,NA,Arizona,United States,2020-05-29,110.96
city,Phoenix,driving,NA,Arizona,United States,2020-05-30,103.63
city,Phoenix,driving,NA,Arizona,United States,2020-05-31,74.32
city,Phoenix,driving,NA,Arizona,United States,2020-06-01,90.53
city,Phoenix,driving,NA,Arizona,United States,2020-06-02,92.35
city,Phoenix,driving,NA,Arizona,United States,2020-06-03,96.03
city,Phoenix,driving,NA,Arizona,United States,2020-06-04,98.61
city,Phoenix,driving,NA,Arizona,United States,2020-06-05,110.23
city,Phoenix,driving,NA,Arizona,United States,2020-06-06,104.05
city,Phoenix,driving,NA,Arizona,United States,2020-06-07,81.19
city,Phoenix,driving,NA,Arizona,United States,2020-06-08,98.97
city,Phoenix,driving,NA,Arizona,United States,2020-06-09,100.35
city,Phoenix,driving,NA,Arizona,United States,2020-06-10,101.12
city,Phoenix,driving,NA,Arizona,United States,2020-06-11,104.32
city,Phoenix,driving,NA,Arizona,United States,2020-06-12,115.58
city,Phoenix,driving,NA,Arizona,United States,2020-06-13,111.2
city,Phoenix,driving,NA,Arizona,United States,2020-06-14,84.11
city,Phoenix,driving,NA,Arizona,United States,2020-06-15,99.23
city,Phoenix,driving,NA,Arizona,United States,2020-06-16,101.26
city,Phoenix,driving,NA,Arizona,United States,2020-06-17,101.78
city,Phoenix,driving,NA,Arizona,United States,2020-06-18,103.95
city,Phoenix,driving,NA,Arizona,United States,2020-06-19,115.43
city,Phoenix,driving,NA,Arizona,United States,2020-06-20,105.64
city,Phoenix,driving,NA,Arizona,United States,2020-06-21,75.57
city,Phoenix,driving,NA,Arizona,United States,2020-06-22,98.26
city,Phoenix,driving,NA,Arizona,United States,2020-06-23,101.7
city,Phoenix,driving,NA,Arizona,United States,2020-06-24,100.72
city,Phoenix,driving,NA,Arizona,United States,2020-06-25,102.39
city,Phoenix,driving,NA,Arizona,United States,2020-06-26,113.55
city,Phoenix,driving,NA,Arizona,United States,2020-06-27,104.28
city,Phoenix,driving,NA,Arizona,United States,2020-06-28,79.44
city,Phoenix,driving,NA,Arizona,United States,2020-06-29,95.83
city,Phoenix,driving,NA,Arizona,United States,2020-06-30,97.73
city,Phoenix,driving,NA,Arizona,United States,2020-07-01,99.24
city,Phoenix,driving,NA,Arizona,United States,2020-07-02,103.88
city,Phoenix,driving,NA,Arizona,United States,2020-07-03,99.19
city,Phoenix,driving,NA,Arizona,United States,2020-07-04,74.45
city,Phoenix,driving,NA,Arizona,United States,2020-07-05,69.45
city,Phoenix,driving,NA,Arizona,United States,2020-07-06,92
city,Phoenix,driving,NA,Arizona,United States,2020-07-07,94.51
city,Phoenix,driving,NA,Arizona,United States,2020-07-08,95.44
city,Phoenix,driving,NA,Arizona,United States,2020-07-09,97.22
city,Phoenix,driving,NA,Arizona,United States,2020-07-10,107
city,Phoenix,driving,NA,Arizona,United States,2020-07-11,96.3
city,Phoenix,driving,NA,Arizona,United States,2020-07-12,74.68
city,Phoenix,driving,NA,Arizona,United States,2020-07-13,92.78
city,Phoenix,driving,NA,Arizona,United States,2020-07-14,95.76
city,Phoenix,driving,NA,Arizona,United States,2020-07-15,97.39
city,Phoenix,driving,NA,Arizona,United States,2020-07-16,102.7
city,Phoenix,driving,NA,Arizona,United States,2020-07-17,109.87
city,Phoenix,driving,NA,Arizona,United States,2020-07-18,100.7
city,Phoenix,driving,NA,Arizona,United States,2020-07-19,77.64
city,Phoenix,driving,NA,Arizona,United States,2020-07-20,94.26
city,Phoenix,driving,NA,Arizona,United States,2020-07-21,97.36
city,Phoenix,driving,NA,Arizona,United States,2020-07-22,99.2
city,Phoenix,driving,NA,Arizona,United States,2020-07-23,100.71
city,Phoenix,driving,NA,Arizona,United States,2020-07-24,111.93
city,Phoenix,driving,NA,Arizona,United States,2020-07-25,105.53
city,Phoenix,driving,NA,Arizona,United States,2020-07-26,81.7
city,Phoenix,driving,NA,Arizona,United States,2020-07-27,97.23
city,Phoenix,driving,NA,Arizona,United States,2020-07-28,99.65
city,Phoenix,driving,NA,Arizona,United States,2020-07-29,103.79
city,Phoenix,driving,NA,Arizona,United States,2020-07-30,104.69
city,Phoenix,driving,NA,Arizona,United States,2020-07-31,115.51
city,Phoenix,driving,NA,Arizona,United States,2020-08-01,111.57
city,Phoenix,driving,NA,Arizona,United States,2020-08-02,85.14
city,Phoenix,driving,NA,Arizona,United States,2020-08-03,100.43
city,Phoenix,driving,NA,Arizona,United States,2020-08-04,102.72
city,Phoenix,driving,NA,Arizona,United States,2020-08-05,100.07
city,Phoenix,driving,NA,Arizona,United States,2020-08-06,102.48
city,Phoenix,driving,NA,Arizona,United States,2020-08-07,116.93
city,Phoenix,driving,NA,Arizona,United States,2020-08-08,111.19
city,Phoenix,driving,NA,Arizona,United States,2020-08-09,84.28
city,Phoenix,driving,NA,Arizona,United States,2020-08-10,97.55
city,Phoenix,driving,NA,Arizona,United States,2020-08-11,101.6
city,Phoenix,driving,NA,Arizona,United States,2020-08-12,101.83
city,Phoenix,driving,NA,Arizona,United States,2020-08-13,104.75
city,Phoenix,driving,NA,Arizona,United States,2020-08-14,122.16
city,Phoenix,driving,NA,Arizona,United States,2020-08-15,114.94
city,Phoenix,driving,NA,Arizona,United States,2020-08-16,86.59
city,Phoenix,driving,NA,Arizona,United States,2020-08-17,102.15
city,Phoenix,driving,NA,Arizona,United States,2020-08-18,103.9
city,Phoenix,driving,NA,Arizona,United States,2020-08-19,105.16
city,Phoenix,driving,NA,Arizona,United States,2020-08-20,105.97
city,Phoenix,driving,NA,Arizona,United States,2020-08-21,122.39
city,Phoenix,driving,NA,Arizona,United States,2020-08-22,117.77
city,Phoenix,driving,NA,Arizona,United States,2020-08-23,87.51
city,Phoenix,driving,NA,Arizona,United States,2020-08-24,98.49
city,Phoenix,driving,NA,Arizona,United States,2020-08-25,100.83
city,Phoenix,driving,NA,Arizona,United States,2020-08-26,102.29
city,Phoenix,driving,NA,Arizona,United States,2020-08-27,104.59
city,Phoenix,driving,NA,Arizona,United States,2020-08-28,119.49
city,Phoenix,driving,NA,Arizona,United States,2020-08-29,114.1
city,Phoenix,driving,NA,Arizona,United States,2020-08-30,85.85
city,Phoenix,driving,NA,Arizona,United States,2020-08-31,100.24
city,Phoenix,driving,NA,Arizona,United States,2020-09-01,103.26
city,Phoenix,driving,NA,Arizona,United States,2020-09-02,105.27
city,Phoenix,driving,NA,Arizona,United States,2020-09-03,109.8
city,Phoenix,driving,NA,Arizona,United States,2020-09-04,127.03
city,Phoenix,driving,NA,Arizona,United States,2020-09-05,114.17
city,Phoenix,driving,NA,Arizona,United States,2020-09-06,88.96
city,Phoenix,driving,NA,Arizona,United States,2020-09-07,86.82
city,Phoenix,driving,NA,Arizona,United States,2020-09-08,101.46
city,Phoenix,driving,NA,Arizona,United States,2020-09-09,105.4
city,Phoenix,driving,NA,Arizona,United States,2020-09-10,109.07
city,Phoenix,driving,NA,Arizona,United States,2020-09-11,122.34
city,Phoenix,driving,NA,Arizona,United States,2020-09-12,121.95
city,Phoenix,driving,NA,Arizona,United States,2020-09-13,88.25
city,Phoenix,driving,NA,Arizona,United States,2020-09-14,103.31
city,Phoenix,driving,NA,Arizona,United States,2020-09-15,104.03
city,Phoenix,driving,NA,Arizona,United States,2020-09-16,106.16
city,Phoenix,driving,NA,Arizona,United States,2020-09-17,108.93
city,Phoenix,driving,NA,Arizona,United States,2020-09-18,127.26
city,Phoenix,driving,NA,Arizona,United States,2020-09-19,122.25
city,Phoenix,driving,NA,Arizona,United States,2020-09-20,89.29
city,Phoenix,driving,NA,Arizona,United States,2020-09-21,100.56
city,Phoenix,driving,NA,Arizona,United States,2020-09-22,102.39
city,Phoenix,driving,NA,Arizona,United States,2020-09-23,104.12
city,Phoenix,driving,NA,Arizona,United States,2020-09-24,106.45
city,Phoenix,driving,NA,Arizona,United States,2020-09-25,122.44
city,Phoenix,driving,NA,Arizona,United States,2020-09-26,121.16
city,Phoenix,driving,NA,Arizona,United States,2020-09-27,85.96
city,Phoenix,driving,NA,Arizona,United States,2020-09-28,97.22
city,Phoenix,driving,NA,Arizona,United States,2020-09-29,98.36
city,Phoenix,driving,NA,Arizona,United States,2020-09-30,101.96
city,Phoenix,driving,NA,Arizona,United States,2020-10-01,106.59
city,Phoenix,driving,NA,Arizona,United States,2020-10-02,120.98
city,Phoenix,driving,NA,Arizona,United States,2020-10-03,117.05
city,Phoenix,driving,NA,Arizona,United States,2020-10-04,84.54
city,Phoenix,driving,NA,Arizona,United States,2020-10-05,97.11
city,Phoenix,driving,NA,Arizona,United States,2020-10-06,98.9
city,Phoenix,driving,NA,Arizona,United States,2020-10-07,101.93
city,Phoenix,driving,NA,Arizona,United States,2020-10-08,106.02
city,Phoenix,driving,NA,Arizona,United States,2020-10-09,121.69
city,Phoenix,driving,NA,Arizona,United States,2020-10-10,117.39
city,Phoenix,driving,NA,Arizona,United States,2020-10-11,86.04
city,Phoenix,driving,NA,Arizona,United States,2020-10-12,98.01
city,Phoenix,driving,NA,Arizona,United States,2020-10-13,100.41
city,Phoenix,driving,NA,Arizona,United States,2020-10-14,103.82
city,Phoenix,driving,NA,Arizona,United States,2020-10-15,107.64
city,Phoenix,driving,NA,Arizona,United States,2020-10-16,125.59
city,Phoenix,driving,NA,Arizona,United States,2020-10-17,126.95
city,Phoenix,driving,NA,Arizona,United States,2020-10-18,90.79
city,Phoenix,driving,NA,Arizona,United States,2020-10-19,98.24
city,Phoenix,driving,NA,Arizona,United States,2020-10-20,100.98
city,Phoenix,driving,NA,Arizona,United States,2020-10-21,103.23
city,Phoenix,driving,NA,Arizona,United States,2020-10-22,110.78
city,Phoenix,driving,NA,Arizona,United States,2020-10-23,127.31
city,Phoenix,driving,NA,Arizona,United States,2020-10-24,127.93
city,Phoenix,driving,NA,Arizona,United States,2020-10-25,90.77
city,Phoenix,driving,NA,Arizona,United States,2020-10-26,99.23
city,Phoenix,driving,NA,Arizona,United States,2020-10-27,101.3
city,Phoenix,driving,NA,Arizona,United States,2020-10-28,103.19
city,Phoenix,driving,NA,Arizona,United States,2020-10-29,108.66
city,Phoenix,driving,NA,Arizona,United States,2020-10-30,126.47
city,Phoenix,driving,NA,Arizona,United States,2020-10-31,120.67
city,Phoenix,driving,NA,Arizona,United States,2020-11-01,82.13
city,Phoenix,driving,NA,Arizona,United States,2020-11-02,95.56
city,Phoenix,driving,NA,Arizona,United States,2020-11-03,97.1
city,Phoenix,driving,NA,Arizona,United States,2020-11-04,90.96
city,Phoenix,driving,NA,Arizona,United States,2020-11-05,97.31
city,Phoenix,driving,NA,Arizona,United States,2020-11-06,115.99
city,Phoenix,driving,NA,Arizona,United States,2020-11-07,115.56
city,Phoenix,driving,NA,Arizona,United States,2020-11-08,82.31
city,Phoenix,driving,NA,Arizona,United States,2020-11-09,90.74
city,Phoenix,driving,NA,Arizona,United States,2020-11-10,95.07
city,Phoenix,driving,NA,Arizona,United States,2020-11-11,100.18
city,Phoenix,driving,NA,Arizona,United States,2020-11-12,92.95
city,Phoenix,driving,NA,Arizona,United States,2020-11-13,117.04
city,Phoenix,driving,NA,Arizona,United States,2020-11-14,115.37
city,Phoenix,driving,NA,Arizona,United States,2020-11-15,80.9
city,Phoenix,driving,NA,Arizona,United States,2020-11-16,91.53
city,Phoenix,driving,NA,Arizona,United States,2020-11-17,93.07
city,Phoenix,driving,NA,Arizona,United States,2020-11-18,94.99
city,Phoenix,driving,NA,Arizona,United States,2020-11-19,98.37
city,Phoenix,driving,NA,Arizona,United States,2020-11-20,116.53
city,Phoenix,driving,NA,Arizona,United States,2020-11-21,111.87
city,Phoenix,driving,NA,Arizona,United States,2020-11-22,81.34
city,Phoenix,driving,NA,Arizona,United States,2020-11-23,97.31
city,Phoenix,driving,NA,Arizona,United States,2020-11-24,102.51
city,Phoenix,driving,NA,Arizona,United States,2020-11-25,109.34
city,Phoenix,driving,NA,Arizona,United States,2020-11-26,55.05
city,Phoenix,driving,NA,Arizona,United States,2020-11-27,93.57
city,Phoenix,driving,NA,Arizona,United States,2020-11-28,93.33
city,Phoenix,driving,NA,Arizona,United States,2020-11-29,73.63
city,Phoenix,driving,NA,Arizona,United States,2020-11-30,90.26
city,Phoenix,driving,NA,Arizona,United States,2020-12-01,91.65
city,Phoenix,driving,NA,Arizona,United States,2020-12-02,91.62
city,Phoenix,driving,NA,Arizona,United States,2020-12-03,95.36
city,Phoenix,driving,NA,Arizona,United States,2020-12-04,109.55
city,Phoenix,driving,NA,Arizona,United States,2020-12-05,105.14
city,Phoenix,driving,NA,Arizona,United States,2020-12-06,76.04
city,Phoenix,driving,NA,Arizona,United States,2020-12-07,90.39
city,Phoenix,driving,NA,Arizona,United States,2020-12-08,92.23
city,Phoenix,driving,NA,Arizona,United States,2020-12-09,94.05
city,Phoenix,driving,NA,Arizona,United States,2020-12-10,93.32
city,Phoenix,driving,NA,Arizona,United States,2020-12-11,112.73
city,Phoenix,driving,NA,Arizona,United States,2020-12-12,109.38
city,Phoenix,driving,NA,Arizona,United States,2020-12-13,78.53
city,Phoenix,driving,NA,Arizona,United States,2020-12-14,92.87
city,Phoenix,driving,NA,Arizona,United States,2020-12-15,95.45
city,Phoenix,driving,NA,Arizona,United States,2020-12-16,98.26
city,Phoenix,driving,NA,Arizona,United States,2020-12-17,101.93
city,Phoenix,driving,NA,Arizona,United States,2020-12-18,118.71
city,Phoenix,driving,NA,Arizona,United States,2020-12-19,109.45
city,Phoenix,driving,NA,Arizona,United States,2020-12-20,83.16
city,Phoenix,driving,NA,Arizona,United States,2020-12-21,106.12
city,Phoenix,driving,NA,Arizona,United States,2020-12-22,109.03
city,Phoenix,driving,NA,Arizona,United States,2020-12-23,113.07
city,Phoenix,driving,NA,Arizona,United States,2020-12-24,83.8
city,Phoenix,driving,NA,Arizona,United States,2020-12-25,44.96
city,Phoenix,driving,NA,Arizona,United States,2020-12-26,82.98
city,Phoenix,driving,NA,Arizona,United States,2020-12-27,74.96
city,Phoenix,driving,NA,Arizona,United States,2020-12-28,96.95
city,Phoenix,driving,NA,Arizona,United States,2020-12-29,99.85
city,Phoenix,driving,NA,Arizona,United States,2020-12-30,104.45
city,Phoenix,driving,NA,Arizona,United States,2020-12-31,102.82
city,Phoenix,driving,NA,Arizona,United States,2021-01-01,77.49
city,Phoenix,driving,NA,Arizona,United States,2021-01-02,93.93
city,Phoenix,driving,NA,Arizona,United States,2021-01-03,76.23
city,Phoenix,driving,NA,Arizona,United States,2021-01-04,93.93
city,Phoenix,driving,NA,Arizona,United States,2021-01-05,94.69
city,Phoenix,driving,NA,Arizona,United States,2021-01-06,92.34
city,Phoenix,driving,NA,Arizona,United States,2021-01-07,94.59
city,Phoenix,driving,NA,Arizona,United States,2021-01-08,108.01
city,Phoenix,driving,NA,Arizona,United States,2021-01-09,106.71
city,Phoenix,driving,NA,Arizona,United States,2021-01-10,80.51
city,Phoenix,driving,NA,Arizona,United States,2021-01-11,92.86
city,Phoenix,driving,NA,Arizona,United States,2021-01-12,93.16
city,Phoenix,driving,NA,Arizona,United States,2021-01-13,94.38
city,Phoenix,driving,NA,Arizona,United States,2021-01-14,97.61
city,Phoenix,driving,NA,Arizona,United States,2021-01-15,114.66
city,Phoenix,driving,NA,Arizona,United States,2021-01-16,112.35
city,Phoenix,driving,NA,Arizona,United States,2021-01-17,86.61
city,Phoenix,driving,NA,Arizona,United States,2021-01-18,97.71
city,Phoenix,driving,NA,Arizona,United States,2021-01-19,92.86
city,Phoenix,driving,NA,Arizona,United States,2021-01-20,93.25
city,Phoenix,driving,NA,Arizona,United States,2021-01-21,96.96
city,Phoenix,driving,NA,Arizona,United States,2021-01-22,111.82
city,Phoenix,driving,NA,Arizona,United States,2021-01-23,108.7
city,Phoenix,driving,NA,Arizona,United States,2021-01-24,75.81
city,Phoenix,driving,NA,Arizona,United States,2021-01-25,88.2
city,Phoenix,driving,NA,Arizona,United States,2021-01-26,93.36
city,Phoenix,driving,NA,Arizona,United States,2021-01-27,96.55
city,Phoenix,driving,NA,Arizona,United States,2021-01-28,99.31
city,Phoenix,driving,NA,Arizona,United States,2021-01-29,113.42
city,Phoenix,driving,NA,Arizona,United States,2021-01-30,113.97
city,Phoenix,driving,NA,Arizona,United States,2021-01-31,84.21
city,Phoenix,driving,NA,Arizona,United States,2021-02-01,95.43
city,Phoenix,driving,NA,Arizona,United States,2021-02-02,97.1
city,Phoenix,driving,NA,Arizona,United States,2021-02-03,99.54
city,Phoenix,driving,NA,Arizona,United States,2021-02-04,103.99
city,Phoenix,driving,NA,Arizona,United States,2021-02-05,119.94
city,Phoenix,driving,NA,Arizona,United States,2021-02-06,117.29
city,Phoenix,driving,NA,Arizona,United States,2021-02-07,80.33
city,Phoenix,driving,NA,Arizona,United States,2021-02-08,96.31
city,Phoenix,driving,NA,Arizona,United States,2021-02-09,98.32
city,Phoenix,driving,NA,Arizona,United States,2021-02-10,102.63
city,Phoenix,driving,NA,Arizona,United States,2021-02-11,108.29
city,Phoenix,driving,NA,Arizona,United States,2021-02-12,131.6
city,Phoenix,driving,NA,Arizona,United States,2021-02-13,131.53
city,Phoenix,driving,NA,Arizona,United States,2021-02-14,104.2
city,Phoenix,driving,NA,Arizona,United States,2021-02-15,100.23
city,Phoenix,driving,NA,Arizona,United States,2021-02-16,102.91
city,Phoenix,driving,NA,Arizona,United States,2021-02-17,104.77
city,Phoenix,driving,NA,Arizona,United States,2021-02-18,107.99
city,Phoenix,driving,NA,Arizona,United States,2021-02-19,125.17
city,Phoenix,driving,NA,Arizona,United States,2021-02-20,126.42
city,Phoenix,driving,NA,Arizona,United States,2021-02-21,92.17
city,Phoenix,driving,NA,Arizona,United States,2021-02-22,101.77
city,Phoenix,driving,NA,Arizona,United States,2021-02-23,104.04
city,Phoenix,driving,NA,Arizona,United States,2021-02-24,107.93
city,Phoenix,driving,NA,Arizona,United States,2021-02-25,111.3
city,Phoenix,driving,NA,Arizona,United States,2021-02-26,129.74
city,Phoenix,driving,NA,Arizona,United States,2021-02-27,128.23
city,Phoenix,driving,NA,Arizona,United States,2021-02-28,94.35
city,Phoenix,driving,NA,Arizona,United States,2021-03-01,105.33
city,Phoenix,driving,NA,Arizona,United States,2021-03-02,107.49
city,Phoenix,driving,NA,Arizona,United States,2021-03-03,110.11
city,Phoenix,driving,NA,Arizona,United States,2021-03-04,115.15
city,Phoenix,driving,NA,Arizona,United States,2021-03-05,134.06
city,Phoenix,driving,NA,Arizona,United States,2021-03-06,130.95
city,Phoenix,driving,NA,Arizona,United States,2021-03-07,97.03
city,Phoenix,driving,NA,Arizona,United States,2021-03-08,108.31
city,Phoenix,driving,NA,Arizona,United States,2021-03-09,110.56
